Category Name,URL
electronics,https://www.amazon.com/s?k=electronics
clothing,https://www.amazon.com/s?k=clothing
home_appliances,https://www.amazon.com/s?k=home+and+kitchen
beauty,https://www.amazon.com/s?k=beauty+and+personal+care
sports,https://www.amazon.com/s?k=sports+and+outdoors
automotive,https://www.amazon.com/s?k=automotive
books,https://www.amazon.com/s?k=books
games,https://www.amazon.com/s?k=toys+and+games
groceries,https://www.amazon.com/s?k=grocery+and+gourmet+food
furniture,https://www.amazon.com/s?k=furniture
