product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,product_link
B0C69DCX7J,ANRABESS Women Athletic Dress Summer Tennis Workout Active Sports Mini Romper Dress Built in Shorts Travel Vacation Clothes,Clothing,27.99,,,4.3,2534,N/A,https://www.amazon.com/ANRABESS-Workout-Athleisure-Outfits-Vacation/dp/B0C69DCX7J/ref=sr_1_1?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-1
B086L69KCL,"Hanes Men's Boxer Briefs, Cool Dri Moisture-Wicking Underwear, Cotton No-Ride-up for Men, Multi-Packs",Clothing,16.31,,,4.5,162987,N/A,https://www.amazon.com/Hanes-Moisture-Wicking-Underwear-No-Ride-up-Multi-Packs/dp/B086L69KCL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-2
B09315VY54,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",Clothing,18.77,,,4.6,307725,N/A,https://www.amazon.com/Gildan-T-Shirts-Multipack-Military-5-Pack/dp/B09315VY54/ref=sr_1_3?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-3
B0BPYDHG56,Trendy Queen Womens Oversized Summer T Shirts Fashion Workout Plus Size Tops Short Sleeve Beach Vacation Gym Clothes 2025,Clothing,9.99,,,4.3,2966,N/A,https://www.amazon.com/Trendy-Queen-Oversized-Crewneck-DarkPink/dp/B0BPYDHG56/ref=sr_1_4?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-4
B0DP94TVJS,AUTOMET Womens Lace Tops Pleated Short Sleeve Shirts Summer Business Casual Dressy Blouses,Clothing,12.99,,,4.4,377,N/A,https://www.amazon.com/AUTOMET-Business-Sleeveless-Vacation-Clothing/dp/B0DP94TVJS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-5
B0CYC81YN1,AUTOMET Womens Cap Sleeve Summer Tops Business Casual T Shirts Dressy Spring Fashion Outfits Cute Trendy Clothes 2025,Clothing,6.99,,,4.3,2191,N/A,https://www.amazon.com/AUTOMET-Crewneck-Vacation-Outfits-Clothing/dp/B0CYC81YN1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-6
B0DNMTH86X,AUTOMET Womens Summer Tops Workout Shirts Beach Vacation Outfits Business Tshirts Dressy Fashion Spring Clothes 2025,Clothing,7.19,,,4.6,364,N/A,https://www.amazon.com/AUTOMET-Workout-Vacation-Outfits-Business/dp/B0DNMTH86X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-7
B0CL9D24CC,Dokotoo Women's Casual Loose Overalls Jumpsuits One Piece Sleeveless Printed Wide Leg Long Pant Rompers With Pockets,Clothing,33.88,,,4.1,2658,N/A,https://www.amazon.com/Dokotoo-Overalls-Sleeveless-Jumpsuits-Stretchy/dp/B0CL9D24CC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-8
B09SNZJGJD,AUTOMET Summer Tops Women Spring Short Sleeve Shirts Beach Vacation Outfits Plus Size Workout Tshirts Casual Clothes 2025,Clothing,9.99,,,4.4,2981,N/A,https://www.amazon.com/AUTOMET-Womens-Sleeve-Shirts-Crewneck/dp/B09SNZJGJD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-9
B0775MH7RH,"Amazon Essentials Women's Classic-Fit Short-Sleeve V-Neck T-Shirt, Multipacks",Clothing,6.05,,,4.4,52090,N/A,https://www.amazon.com/Amazon-Essentials-Classic-Fit-Short-Sleeve-Charcoal/dp/B0775MH7RH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.brIFAbzpeP3Tv9-IYuidWry09gbv4hlzcNFGBv9mGOndMwyd7kro-zBYnAJDfKiyaveIOsEydhY-FkdObi9_r_iAqdAyT4SVtPbKxuhwNPGXCKxS_xkA4YSYUbFH3TYZRa3P4nsXCTk_BUX6bpwz5gh7KmVctXrldwxi8tSiujDcq2aRPzZkJyDjVCh21sY9t450dVQfYAFkmZoMEfy81Tw6faojJuCbzp2kKNeaMVqUnvUpysijnxMqScVPATVKRw31HXbe_1Ewx-fLBHKYphOzcuEbkfqlPWxowommZX0.cO8swRyK4v25sIr_hp95S1wzBFoByzfX2CdGhUwmJK0&dib_tag=se&keywords=clothing&qid=1746188099&sr=8-10
