product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,product_link
B09BWFX1L6,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 32 Regular Rolls, Everyday Value with 150 Sheets per Roll",Health_and_Household,22.86,9.69,-135.9,4.2,54706,"IN THE BOX: 12 rolls with 150 2-ply sheets per roll, 1,800 total sheets GREAT VALUE: Amazon Basics Paper Towels are perfect for everyday messes at a great value for your budget LESS LINT: Amazon Basics Towels lint less making them great for cleaning hard surfaces like mirrors, glass, and countertops FLEX-SHEETS: select the size you need for any task; waste less - save more EVERYDAY SOLUTION: Amazon Basics Towels are just the solution for an affordable and effective clean TRY AMAZON BASICS: If you like Sparkle Paper Towels, we invite you to try Amazon Basics Paper Towels",https://www.amazon.com/Amazon-Basics-Ply-Paper-Towel/dp/B09BWFX1L6/ref=sr_1_9?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-9
B0DYDYK82Q,"4 Pcs Travel First Aid Pouch,Empty Mini First Aid Pouch, Portable Outdoor First Aid Medical Rescue Bag Multi-Function Emergency Medicine Storage Organizer Bag Health and Household Supplies (Small)",Health_and_Household,7.99,21.99,63.7,5.0,2,"MULTI-PACK VALUE: Set includes 4 compact first aid pouches perfect for storing medical supplies and emergency items PORTABLE DESIGN: Lightweight and compact size makes these pouches ideal for travel, hiking, camping, or keeping in vehicles VERSATILE STORAGE: Multiple compartments and pockets help organize various medical supplies, bandages, and emergency items efficiently DURABLE CONSTRUCTION: Made with strong, water-resistant material to protect medical supplies from moisture and damage PRACTICAL SIZE: Each pouch features a convenient small size that fits easily in backpacks, purses, or glove compartments",https://www.amazon.com/Portable-Multi-Function-Emergency-Organizer-Household/dp/B0DYDYK82Q/ref=sr_1_11?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-11
B00HZ6WFZA,"Swiffer Sweeper Wet Mopping Cloths, Mops for Floor Cleaning, Open-Window Fresh, 24 Count",Health_and_Household,9.94,,,4.6,9872,"1. TRAP + LOCK TECHNOLOGY: Textured wet mopping pad cloths trap and lock dirt deep in cloth, making it an essential part of your cleaning supplies 2. SCRUBBING STRIP: The scrubbing strip fights tough spots, making this floor mop an effective cleaning tool for all your floor cleaning needs 3. SAFE ON ALL FINISHED FLOORS: Safe for use across all hard sealed surfaces. Do not use it on unfinished floors, oiled or waxed wooden boards, non-sealed tiles or carpeted floors because they may be water sensitive 4. USE WITH SWIFFER SWEEPER: For great results, use these mop cloths with Swiffer Sweeper, a key component in your bathroom cleaning supplies 5. DRY SWEEPING CLOTH REFILLS: Also try Swiffer Sweeper dry sweeping cloth refills! Before wet cleaning your floors with Swiffer Wet mop cloths, first dry sweep your floor with Swiffer Dry Sweeping Cloth refills",https://www.amazon.com/Swiffer-Refills-Mopping-Cleaning-Purpose/dp/B00HZ6WFZA/ref=sr_1_12?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-12
B00LH3DMUO,"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",Health_and_Household,13.89,18.98,26.8,4.7,789732,"IN THE BOX: 36-pack of 1.5 volt AAA alkaline batteries for reliable performance across a wide range of devices DEVICE COMPATIBLE: Ideal for game controllers, toys, flashlights, digital cameras, clocks, and more DESIGNED TO LAST: 10-year leak-free shelf life; store for emergencies or use right away EASY USE & STORAGE: Ships in easy-to-open packaging SINGLE USE: These batteries are NOT rechargeable; for rechargeable options, check out Amazon Basics rechargeable batteries For frequent/professional/industrial use, check out Amazon Basics Industrial AAA batteries.",https://www.amazon.com/Amazon-Basics-AAA-High-Performance-36/dp/B00LH3DMUO/ref=sr_1_13?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-13
B0DGPSYMPX,"Basal Thermometer for Adults and Kids, Fast & Accurate with Fever Alert, Mute Function, FSA/HSA Eligible - Essential for Babies and Adults, Lifetime Support Included",Health_and_Household,9.99,13.99,28.6,4.2,242,"Fast & Accurate Measurement: Experience precise temperature readings with our advanced forehead thermometer. Designed for quick and accurate results, this professional-grade device is easy to use and ensures hygienic, non-contact measurements. Ideal for both adults and children, it’s a reliable tool for any household or medical setting. Color-Coded Temperature Indicators: Our thermometer features intuitive color-coded indicators that clearly show temperature levels. With simple visual cues and optional beeps, you can quickly assess whether a temperature is within a normal range or requires attention. User-Friendly & Readable Display: Equipped with a bright, large LED screen, this digital thermometer provides clear readings even in low light conditions. Just position the device near the forehead, press the button, and get an accurate temperature reading in just one second. Versatile Functionality: This thermometer offers dual-mode functionality for measuring forehead, room, and object temperatures. It includes 35 memory slots, a one-touch mute option, switchable Fahrenheit/Celsius, and an automatic 30-second shut-off feature, making it perfect for the whole family. Ergonomic & Portable Design: Lightweight and ergonomically designed, our thermometer fits comfortably in your hand for easy use by both adults and children. Its compact size is perfect for travel, fitting conveniently into your bag or pocket so you can monitor temperatures wherever you go.",https://www.amazon.com/Thermometer-Adults-Accurate-Function-Eligible/dp/B0DGPSYMPX/ref=sr_1_14?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-14
B0C1Z137KK,"Scale for Body Weight and Fat Percentage, RunSTAR Digital Accurate Bathroom Smart Scale with Large Display, FSA&HSA Eligible 13 Body Composition Analyzer Sync App",Health_and_Household,26.99,42.99,37.2,4.7,3029,"Large LCD Screen Display: Instead of normal LCD display scales, the Runstar scale features a large display screen that shows 6 key measurements, including weight, body fat rate, BMI, muscle mass, body water rate and bone mass. You can completely free your hands to read these measurements at a glance without having to open your APP for every measurements. Three Guarantees for High Accuracy: This ultra-precision body fat scale, adopting the advanced BIA technology, is equipped with 4 high sensitive electrodes and 4 high precision G-shape sensors that have passed 100,000 times sensor performance tests to enhance accuracy.The scale ensures accurate measurement results to within 0.2lb/100g and has a maximum weight capacity of 400lb/180kg. 13 Essential Body Composition data Analyzer: Runstar Scale utilizes electrical Bio-Impedance Measurement Technology to calculate including Weight, BMI, Body Fat, Fat-free Body Weight, Subcutaneous Fat, Visceral Fat, Water, Muscle Mass, Bone Mass, Protein, BMR and Body Age. You can monitor and track your body data over time periods (by weeks, months or even years) on Starfit App anytime anywhere, which can help guide you towards a healthier lifestyle or track your fitness progress. User-friendly APP: You can download the Starfit app from App Store or Google Play. The smart scale supports offline measurement, which allows the data be measured and automatically synced onto the APP after connecting the app to complete the first measurement. The app also syncs easily with other fitness apps like Apple Health, Health Connect and so on. Family Health Guardian: With the ability to create up to 24 user profiles and identify the user instantly when one steps on, the RunSTAR Scale is perfect for families and friends who want to track their body data for health. (Baby Mode supported.) The scale is great for bodybuilders, weight loss enthusiasts, and anyone who wants to maintain a healthy lifestyle. FSA or HSA eligible.",https://www.amazon.com/Percentage-Ultra-Precision-Accurate-Composition-Monitor-400lb/dp/B0C1Z137KK/ref=sr_1_15?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-15
B08Y98BVDM,MED PRIDE Non Latex Gloves Medium Disposable Non Sterile Powder Free Exam Gloves Vinyl Nitrile Blend Rubber Free Single Use for Nurses Medical 100 Count,Health_and_Household,8.67,,,4.4,44840,"ULTIMATE PROTECTION: In the realm of medical supplies, ultimate protection is what you get with MED PRIDE NitriPride Nitrile-Vinyl Blend Exam Gloves. Acting as a barrier against harmful bacteria, these gloves are a crucial part of your medical supplies & equipment, keeping your hands clean and safe during various activities. SKIN-FRIENDLY: Comfort meets skin-friendliness with these disposable gloves medium size that are free from latex, rubber, powder, and protein. Especially beneficial for individuals with skin sensitivities, these disposable gloves ensure a comfortable experience without the risk of allergic reactions. DURABLE BLEND: These gloves are a high-quality, durable blend of vinyl and Nitrile, making them the perfect plastic gloves disposable for rigorous use. Their strength and thickness make them suitable as food handling gloves disposable for both commercial and industrial applications. CONVENIENT: Convenience is at your fingertips with these medical-grade, ambidextrous gloves that come in a bulk value of 100. Easy to put on and remove, these disposable gloves do not hinder your dexterity and ensure you always have a fresh pair at your disposal. TRUSTED QUALITY: Quality and reliability are synonymous with Medpride, a trusted supplier of effective, top-quality medical supplies. Using their plastic gloves disposable gives you peace of mind, knowing that you are relying on a brand trusted by medical professionals.",https://www.amazon.com/PRIDE-Synthetic-Nitrile-Vinyl-Gloves-Medium/dp/B08Y98BVDM/ref=sr_1_16?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-16
B0035LCFNQ,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",Health_and_Household,18.64,21.89,14.8,4.8,89043,"FORMULATED WITH POWER BOOST INGREDIENTS: Duracell Coppertop AA alkaline batteries contain Duracell’s patented POWER BOOST Ingredients which deliver lasting performance in your devices GUARANTEED FOR 12 YEARS IN STORAGE: Duracell guarantees each Coppertop AA alkaline battery to last 12 years in storage, so you can be confident these batteries will be ready when you need them DEPENDABLE POWER: Duracell Coppertop AA batteries are made to power everyday devices throughout the home, like TV and gaming remotes, cameras, flashlights, toys, and more #1 TRUSTED BATTERY BRAND: From storm prep to holiday needs, Duracell is the #1 trusted battery brand for the moments that matter most QUALITY ASSURANCE: With Duracell batteries, quality is assured; every Duracell product is guaranteed against defects in material and workmanship Duracell Coppertop batteries are available in Double A (AA), Triple A (AAA), C, D and 9V sizes.",https://www.amazon.com/Duracell-Coppertop-AA-Ingredients-Long-lasting/dp/B0035LCFNQ/ref=sr_1_17?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-17
B09Q7NHS88,"Moleskin, 24-Hr Foot Relief, Foot Pain No More (2-Rolls)",Health_and_Household,14.98,,,4.0,64,"Foot Pain Relief Product, Moleskin For Feet, Foot Support FOOT PAIN RELIEF Products Must Be Purchased From A Company With Decades Invested Into Foot Pain Relief; That's Health and Household MOLESKIN, 2-ROLLS Included of the Finest Heavy Duty Foot Tape In America EXTRA DURABLE MOLESKIN TAPE - 2"" x 5 Yard Roll - Highest Quality Anti Blister Tape for men or women. LATEX FREE PRODUCT by Health and Household, Your One Stop for Health, Supplement and Medical Needs; COMPENSATE FOR BALANCE LOSS - Improve the Function of the Foot, Lessen Trauma and Swelling, Increase Ankle or Foot Support, Protect from Friction, Pressure and Shearing Forces, Cushion Sensitive Areas and Relieve Yourself from Pain. NO MORE BLISTERS - YOUR FEET WILL THANK YOU - Perfect for Customized Padding for any Injured Area, Making or Refreshing Splints and Cast Lining, Preventing and Soothing Blisters, Corns & Calluses and Many Other Uses 100% COTTON MOLESKIN - Premium Adhesive Protection, Dancers, Hiking An All You Need Blister Kit; BLISTER PREVENTION FOR SHOES - Flesh colored moleskin padding strong material. moleskin bandage with a comfortable feel. SHIFT WEIGHT AWAY From Problematic Areas Due to Sesamoids, Metatarsal Head Injuries, Bunions, Hammertoes and Prominences and Disperse Body Weight When Placed in the Right Area.",https://www.amazon.com/Health-Household-Moleskin-Relief-2-Rolls/dp/B09Q7NHS88/ref=sr_1_18?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-18
B0C5J8MVDD,Travel-First Aid-Kit Car-Home 300PCS Survival-Kit Outdoor-Adventure - Small Portable Red Emergency Essential Sets Office Hiking Camping Business Public Must Have First Aid Gear Equipment 1st Aid,Health_and_Household,14.9,,,4.6,963,"Easy to Carry And Compact First Aid Kits -- Very easy to carry, travel-size mini first aid kit bag can hold many have-must emergency essentials. This is good to bring on a hike or camping or in the car. Easy to clean up small scrapes and abrasions. Small emergency first aid set perfect for home, travel, workplace, sport, public and so on. First Aid Kit Home Must Have Essentials -- Convenient waterproof first aid kit with plastic compartments for quick and easy access to what you need (Note: The zipper edge is not waterproof). Travel first aid essentials set contains 300 pieces of basic daily first aid necessities such as cotton swabs, 4 kinds of adhesive bandage, burn dressings, tongue depressors, PBT bandages, gauze sheets, safety pins, triangular bandages, instant ice packs, plastic scissors, plastic tweezers, etc. Versatile Useful Emergency Blanket -- Stock up for your family emergency survival kits, indoor & outdoor first aid kits, preparedness supplies and you will never be caught off guard during an emergency case! First aid blanket a must-have for hiking camping, marathons, earthquake survival kits, and travel first aid kits. The emergency blanket is versatile, not only useful for emergency situations, natural disasters or other situations but also to keep you warm on the stadium, sports. Multi-purpose Triangular Bandage -- When an emergency or accidental injury occurs, the triangular bandage can be used as a first aid bandage, suitable for bandaging various parts of the body, but also as a fixed splint, such as for supporting the arm, chest, or to fix the head, hands, feet dressings. A must-have for any first aid training class, first aid kit at home, work, vehicle, etc. Giving Nice Protection for Yourself-- 4 Adhesive Bandages in assorted sizes for minor cuts and scrapes. The band aids can be applied to different parts of the body, to well preserve the wound, so can give it as a first aid Kit to sport team, friends, colleagues, relatives, family, showing your love and care.",https://www.amazon.com/Travel-First-Aid-Kit-Car-Home-Survival-Kit-Outdoor-Adventure/dp/B0C5J8MVDD/ref=sr_1_19?dib=eyJ2IjoiMSJ9._G-NZgrTclcnp8AjOLiqICu_AVSUXumL0xkrYW5Z6CyJ2_YXDub-uqMyhxW4M7x9h2mvb2xR5fCKCyNq2oRU7gCd2tuvjEUieJ8jgdSjDUI11ZQ6j5r9YDjkOO5rUioCs9dPRu61nxsXvtmA3ZqjVLIJ0njyofTQJWPIO3hxiHHZy2AQGwuxBw0ET22_o8IOE8QwaEYCnFXmSUyuLO3shjULI3zUQKzHlMSbNLcgNBZjfp9wB3G_SrfHJYBGas-wq8pnDwUvY53eA6MtwcGndNmiMMj49mNLl0WcG62OuLA.QHUPYI4ymdw1BvC_Ha3o2fcioyk1W7gpbmt4-pqYflM&dib_tag=se&keywords=health+and+household&qid=1746193176&sr=8-19
