product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,product_link
B0D2JGYX3F,"Nex Playground - The Active Play System for Kids & Families where Indoor Physical Activity Meets Interactive Family Fun and Is Great for Gaming Nights, Parties and Playdates",Toys_and_Games,179.0,10.78,-1560.5,4.7,1391,"5 GAMES INCLUDED. UNLOCK MORE WITH PLAY PASS. Playground comes with Fruit Ninja, Starri, Whac-a-Mole, Go Keeper, and Party Fowl. A separate purchase of a 3-Month ($49) or 12-Month Play Pass ($89) is required to access the full catalog of games and get new games each month, including Barbie, Teenage Mutant Ninja Turtles, Peppa Pig, Elmo, Miraculous Ladybug, Gabby's Dollhouse, Kung Fu Panda and more. GET MOVING WITH ACTIVE FAMILY FUN. Nex Playground is a new kind of video game console that gets your family moving. It easily connects to your TV, transforming your living room into an active play space. Within minutes, your family will be playing Fruit Ninja, Whac-a-Mole and more. Using a built-in camera to track motion and natural body movements, anyone in the family can jump right in. JUST USE YOUR BODY TO PLAY. Play naturally just by moving your body. Playground uses the magic of AI to follow your movements using the built-in wide-angle camera. No controllers or clunky trackers! Up to 4 players can play at the same time, so everyone can get moving together. GAMES YOU'LL LOVE MOVING TO. Playground is packed with interactive motion games, turning your living room into an arcade, theme park, gym, and more. There is something for everyone. It is perfect for indoor family game night, after school activities, or a playdate with friends. EASY SET UP. Playground connects to your TV or projector with a simple HDMI connection and gets everyone in on the fun. It's small and sits elegantly on any console or mantle, and can easily fit in a backpack for playdates and more. From ages 5 and up—Playground is the life of every party. SAFE FOR KIDS AND FAMILIES. Playground content is safe and appropriate for all ages. No ads. No in-app purchases. No mature content. Playground is also kidSAFE+ COPPA certified and motion tracking data is never stored or processed in the cloud.",https://www.amazon.com/Playground-AI-Powered-Transforms-Not-Machine-Specific/dp/B0D2JGYX3F/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-1
B00ABA0ZOA,Jenga Game | The Original Wood Block Game with Genuine Hardwood Blocks | Stacking Tower Game | Ages 6+ | 1 or More Players | Party Games for Kids | Family Games,Toys_and_Games,10.49,,,4.8,101059,"THE ORIGINAL WOOD BLOCK GAME: Dare to risk it? Pull out a block, place it on top, but don't let the tower fall! The Jenga game for kids and adults is the wooden block balancing game loved for generations FAST, EXCITING, ANYTIME FUN: With a simple set up, easy-to-learn rules, and just the right amount of challenge, the Jenga game is a great game for impromptu fun with family and friends GREAT KIDS PARTY GAMES: Suspense, surprises, laughs! Liven up a party by taking along this portable game. This wooden blocks stacking game is great for Family Game Night, icebreakers, and kids birthday parties GENUINE HARDWOOD BLOCKS: The classic Jenga board game includes 54 precision crafted wooden blocks. The easy-to-use stacking sleeve can help players build the tower GAME FOR 1 OR MORE PLAYERS: No friends around? No problem. Play solo! Practice stacking skills, building the tower, and trying not to let it come tumbling down FUN KIDS GIFTS: Kids games and classic games make great holiday or birthday gifts for 6 year old girls and boys and up",https://www.amazon.com/Hasbro-Gaming-Hardwood-Stacking-Stuffers/dp/B00ABA0ZOA/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-2
B0DYV1Q2Q2,"Upgrade Reflex Challenge Game - Drop The Stick, Catch All Drop Sticks Game, Hand Challenge, Hand Eye Coordination Reaction Training Toy, Adjustable Speed",Toys_and_Games,19.99,,,2.0,4,"Catching Sticks Game: Our upgraded stick drop game is not only effectively exercises your reaction speed and hand-eye coordination, but also improve attention and concentration, and develop brain potential Inclusive Speed Settings: With three adjustable speed levels, this game caters to all age groups, ensuring that everyone can play at a pace they find comfortable and enjoyable Two Hanging Hooks: Exciting Reflex Challenges, Equipped with two hanging hooks to securely hold grab sticks, the game offers an exhilarating experience for players to test their reflexes and coordination. It is essential to ensure that there is a clear space around the game to prevent any accidents during play Portable and Versatile Design: Measuring 15.15 inches by 8.46 inches, this game is highly portable and versatile. Its compact size makes it easy to move, store, and set up in various settings, from home to public spaces Perfect Gift Idea: This engaging and fun-filled game is an excellent gift option for the holiday season. It brings joy and entertainment, serving as an ideal present for both family and friends, enhancing any Christmas celebration",https://www.amazon.com/Upgrade-Reflex-Challenge-Game-Coordination/dp/B0DYV1Q2Q2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-3
B08HC44TBP,JOYIN Arcade Basketball Game Set with 4 Balls and Hoop for Kids 3 to 12 Years Old Indoor Outdoor Sport Play - Easy Set Up - Air Pump Included - Ideal for Competition,Toys_and_Games,37.99,,,4.3,2314,"【Super Value】Besides the parts for the basketball stand. There are also 4 inflatable balls and 1 air pump included in the set. Material: plastic. 【Size】Dimensions of basketball stand: 35"" L x 18"" W x 55"" H 【Adjustable Height】You can adjust the basketball stand height according to age. This basketball arcade game can be placed indoors and outdoors, basement, games room, garage, backyard. 【Easy to Set Up】 All accessories (4 rubber basketballs, pump, high-quality net) are included. The indoor & outdoor basketball hoop set comes with instructions for quick assembly. 【Ideal Gifts】This Arcade Basketball Game Set is a perfect Christmas birthdays gift for kids and toddlers. It can create an exciting and competitive atmosphere to offer a real arcade game experience.",https://www.amazon.com/JOYIN-Arcade-Basketball-Indoor-Sport/dp/B08HC44TBP/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-4
B08JLSR6RN,"Magnetic Wooden Fishing Game Toy for Toddlers, Alphabet Fish Catching Counting Games Puzzle with Numbers and Letters, Preschool Learning ABC Math Educational Toys 3 4 5 Years Old Girl Boy Kids",Toys_and_Games,9.99,12.98,23.0,4.5,3648,"DESIGNED FOR KIDS: Fun never stops with our wooden fishing game! This interactive fishing toy is a great learning opportunity for toddlers ages 3+, allowing your child to develop important skills and aptitudes. HOW IT WORKS: Our fishing game puzzle consists of a wooden board with a multitude of colorful fish pieces with different letters and numbers. Your toddler must use the special pole to catch the fish, helping them differentiate colors, letters, and numbers from a very early age. HIGH STANDARDS: The motor skills toys for toddlers 3-5 are made entirely out of well-polished wood. It features smooth edges and surfaces for more safety. The natural wood is painted with eco-friendly and non-toxic water-based dye. LEARNING NEVER STOPS: Our kids magnetic fishing game was designed to help toddlers develop important aptitudes such as hand-eye coordination, fine motor skills, color recognition, and letter recognition. Additionally, it can also help to improve kid’s imagination and problem-solving aptitudes. FUN PRESENT: Get these amazing developmental toys for 3-5 year olds as a super-fun and engaging present for your son or daughter, nephew, grandson, or your kid’s best friend. The fishing toy is a great option for birthdays and Christmas as it combines learning and fun in a simple game.",https://www.amazon.com/Magnetic-Toddlers-Alphabet-Preschool-Educational/dp/B08JLSR6RN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-5
B0CJYKM4FT,"Paint Spin Art Machine Kit for Kids - Arts & Crafts for Boys & Girls Ages - Art Craft Set Gifts for 6-9 Year Old Boy, Girl- Cool Painting Spinner Toys Kits - Birthday Gift Ideas for Ages 6-12 Years",Toys_and_Games,19.99,,,4.4,1102,"UNLEASH CREATIVITY: Dive into the world of splatter art and create unique masterpieces reminiscent of famed artists like Jackson Pollock and Shozo Shimamoto. NO RULES, JUST FUN: With abstract art, there's no right or wrong. Use the white crayon for special effects, choose from 7 vibrant and metallic paints, and let your imagination run wild. ALL-INCLUSIVE KIT: This comprehensive set comes with a paint spinning machine, splatter guard, 4 bright paints, 3 shimmering metallic paints, 20 artboards in varied shapes, and 2 unique white crayons for special effects. HASSLE-FREE SETUP: Equipped with a splatter guard and intuitive setup process, this kit ensures a mess-free art experience for all ages. SAFE & NON-TOXIC: Prioritizing safety, our Paint Vortex kit is non-toxic and kid-friendly, making it perfect for young artists. THE PERFECT GIFT: Whether for a birthday, holiday, or just because, this kit promises endless hours of fun and creativity, making it a cherished gift for young and old alike. VARIETY GALORE: Choose from 20 artboards in different shapes and sizes, ensuring every creation stands out uniquely.",https://www.amazon.com/Paint-Spin-Art-Machine-Kids/dp/B0CJYKM4FT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-6
B0F1CVCSNR,"Upgrade Reflex Challenge Game, Hand Eye Coordination Training Reaction Training Toy, Catch All Drop Sticks Game, Adjustable Speed",Toys_and_Games,20.99,,,4.0,5,"Catching Sticks Game: Our upgraded stick drop game is not only effectively exercises your reaction speed and hand-eye coordination, but also improve attention and concentration, and develop brain potential Inclusive Speed Settings: With three adjustable speed levels, this game caters to all age groups, ensuring that everyone can play at a pace they find comfortable and enjoyable Two Hanging Hooks: Exciting Reflex Challenges, Equipped with two hanging hooks to securely hold grab sticks, the game offers an exhilarating experience for players to test their reflexes and coordination. It is essential to ensure that there is a clear space around the game to prevent any accidents during play Portable and Versatile Design: Measuring 15.15 inches by 8.46 inches, this game is highly portable and versatile. Its compact size makes it easy to move, store, and set up in various settings, from home to public spaces Perfect Gift Idea: This engaging and fun-filled game is an excellent gift option for the holiday season. It brings joy and entertainment, serving as an ideal present for both family and friends, enhancing any Christmas celebration",https://www.amazon.com/HYOIIO-Challenge-Coordination-Training-Adjustable/dp/B0F1CVCSNR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-7
B000FGECAI,"Educational Insights Kanoodle 3D Brain Teaser Puzzle for Ages 7+ Brain Games for Kids and Adults, Travel Games",Toys_and_Games,9.97,13.99,28.7,4.7,31099,"Over 7 million sold: Millions of players around the world can’t get enough of this TikTok must have brainteaser! Don’t miss out on TikTok trend items like Kanoodle, the irresistible puzzle game. Kanoodle has been featured as a trending TikTok item and TikTok viral product—join the fun! INCLUDES 200 PUZZLES! Kanoodle includes 200 addicting 2D & 3D puzzles from beginner basic to deviously difficult; there are hundreds of possible combinations, but only one correct answer 2D & 3D BRAIN TEASER PUZZLE GAME: Kanoodle is a brain teaser puzzle game that includes 12 puzzle pieces, 200 puzzle challenges, a 48-page illustrated puzzle book, and a carrying case. Perfect brain teaser, travel game THE PERFECT GIFT! Our puzzle games and brainteaser games are the perfect gift for kids, teens, and adults! MADE FOR ALL AGES: For anyone 7 to 107! Kanoodle is the perfect brain-bending puzzle game",https://www.amazon.com/Educational-Insights-Kanoodle-Twisting-Solitaire/dp/B000FGECAI/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-8
B0DBXM87ZF,"Bluey Hide & Seek Game, Hide The Figure and Press her Nose to Start The Built-in Timer, Talks and Giggles to Help Kids find her, When Found, Kids can Dance to Theme Song",Toys_and_Games,14.88,,,4.7,255,"Interactive Play - Kids can enjoy a real-life game of Hide and Seek with Bluey, an adorable electronic figure that makes the classic game even more fun. Bluey can be hidden anywhere in the house, creating endless possibilities for imaginative play. This interactive element keeps children engaged and encourages active playtime. Built-in Timer and Sound Cues - Bluey features a built-in timer to add excitement and urgency to the game. She talks and giggles every few seconds, giving players helpful clues to find her hiding spot. This keeps the game dynamic and ensures everyone stays entertained throughout the search. Dance Mode - Once found, players can press Bluey's nose to activate """"Dance Mode,"""" triggering the Bluey theme song. This feature adds a celebratory element to the game, allowing children to dance and enjoy music after their successful search. It turns a simple game of Hide and Seek into a full-fledged interactive experience. Articulated Bluey Toy Figure - The Bluey figure is not just electronic; it is also articulated, standing 15 cm (6 inches) tall, which makes it perfect for imaginative play. Children can move and pose Bluey, adding another layer of interaction to their playtime. The figure's design ensures it is durable and suitable for young kids. Perfect for Parties and Playdates: Great for 2 or more players, ages 3 and up Includes 2X AAA Batteries",https://www.amazon.com/Bluey-Figure-Press-Built-Giggles/dp/B0DBXM87ZF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-9
B007DW6F34,Wonder Forge Disney Classic Characters Matching Game | Fun Learning Toy for Kids Ages 3-5 | Engaging Memory Skills Game | Features Beloved Disney Icons,Toys_and_Games,9.99,,,4.8,5095,"FUN LEARNING TOOL: This Disney Classic Matching Game offers a fun and engaging way for kids, aged 3-5, to enhance their focus, memory, and matching skills EASY TO UNDERSTAND: Comes with a clear and concise instruction manual - have your little ones playing and enjoying the game within five minutes LOVED DISNEY CHARACTERS: The game features delightful illustrations of favorite Disney icons, including Mickey Mouse, Minnie, Dumbo, The Incredibles, Donald Duck and more QUALITY TIME WITH FAMILY: Not only a great solo activity for your preschooler, but also a wonderful game for adults to participate and share in the fun PERFECT GIFT IDEA: A quick game that takes less than 15 minutes to play - makes an ideal gift for birthdays, holidays, or any special occasion",https://www.amazon.com/Disney-Classic-Characters-Matching-Game/dp/B007DW6F34/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ujuvvKH99aPISQw_8cqXAooZEYFWRPdGDNrF3hbsvcUsWNefZtOLxJcNJs0OtYyAt4R0cB6bmGzcV7TGkxq86CH5yc9ckFg3maa_xeAh9qsm2kn1oX-GwxJpLzEov-F-zdYff0oe_OofyV3_CgKGHfhh1Wsm_Qxwy7Io9LqIrL7c2c6HdZkg_q7i-C7ohCdCIWKTK3OI7FY1vE_noWSld4nIdjwFr7SexIUASdKhbFlcCBIzp1-JHpfuOHpTtj3zidbicrN0OXRpr-mlcdxnEyAJKVFHUiUoQZDULiNJW7g.kZLlG7WVy4f0j25UhSbXLbVsWawg9IHUkIdpnaPYZ3Q&dib_tag=se&keywords=toys+and+games&qid=1746191219&sr=8-10
