product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,product_link
B0D2JGYX3F,"Nex Playground - The Active Play System for Kids & Families where Indoor Physical Activity Meets Interactive Family Fun and Is Great for Gaming Nights, Parties and Playdates",games,179.0,10.78,-1560.5,4.7,1383,"5 GAMES INCLUDED. UNLOCK MORE WITH PLAY PASS. Playground comes with Fruit Ninja, Starri, Whac-a-Mole, Go Keeper, and Party Fowl. A separate purchase of a 3-Month ($49) or 12-Month Play Pass ($89) is required to access the full catalog of games and get new games each month, including Barbie, Teenage Mutant Ninja Turtles, Peppa Pig, Elmo, Miraculous Ladybug, Gabby's Dollhouse, Kung Fu Panda and more. GET MOVING WITH ACTIVE FAMILY FUN. Nex Playground is a new kind of video game console that gets your family moving. It easily connects to your TV, transforming your living room into an active play space. Within minutes, your family will be playing Fruit Ninja, Whac-a-Mole and more. Using a built-in camera to track motion and natural body movements, anyone in the family can jump right in. JUST USE YOUR BODY TO PLAY. Play naturally just by moving your body. Playground uses the magic of AI to follow your movements using the built-in wide-angle camera. No controllers or clunky trackers! Up to 4 players can play at the same time, so everyone can get moving together. GAMES YOU'LL LOVE MOVING TO. Playground is packed with interactive motion games, turning your living room into an arcade, theme park, gym, and more. There is something for everyone. It is perfect for indoor family game night, after school activities, or a playdate with friends. EASY SET UP. Playground connects to your TV or projector with a simple HDMI connection and gets everyone in on the fun. It's small and sits elegantly on any console or mantle, and can easily fit in a backpack for playdates and more. From ages 5 and up—Playground is the life of every party. SAFE FOR KIDS AND FAMILIES. Playground content is safe and appropriate for all ages. No ads. No in-app purchases. No mature content. Playground is also kidSAFE+ COPPA certified and motion tracking data is never stored or processed in the cloud.",https://www.amazon.com/Playground-AI-Powered-Transforms-Not-Machine-Specific/dp/B0D2JGYX3F/ref=sr_1_1?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-1
B08HC44TBP,JOYIN Arcade Basketball Game Set with 4 Balls and Hoop for Kids 3 to 12 Years Old Indoor Outdoor Sport Play - Easy Set Up - Air Pump Included - Ideal for Competition,games,37.99,,,4.3,2305,"【Super Value】Besides the parts for the basketball stand. There are also 4 inflatable balls and 1 air pump included in the set. Material: plastic. 【Size】Dimensions of basketball stand: 35"" L x 18"" W x 55"" H 【Adjustable Height】You can adjust the basketball stand height according to age. This basketball arcade game can be placed indoors and outdoors, basement, games room, garage, backyard. 【Easy to Set Up】 All accessories (4 rubber basketballs, pump, high-quality net) are included. The indoor & outdoor basketball hoop set comes with instructions for quick assembly. 【Ideal Gifts】This Arcade Basketball Game Set is a perfect Christmas birthdays gift for kids and toddlers. It can create an exciting and competitive atmosphere to offer a real arcade game experience.",https://www.amazon.com/JOYIN-Arcade-Basketball-Indoor-Sport/dp/B08HC44TBP/ref=sr_1_2?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-2
B0DYV1Q2Q2,"Upgrade Reflex Challenge Game - Drop The Stick, Catch All Drop Sticks Game, Hand Challenge, Hand Eye Coordination Reaction Training Toy, Adjustable Speed",games,19.99,23.99,16.7,2.0,4,"Catching Sticks Game: Our upgraded stick drop game is not only effectively exercises your reaction speed and hand-eye coordination, but also improve attention and concentration, and develop brain potential Inclusive Speed Settings: With three adjustable speed levels, this game caters to all age groups, ensuring that everyone can play at a pace they find comfortable and enjoyable Two Hanging Hooks: Exciting Reflex Challenges, Equipped with two hanging hooks to securely hold grab sticks, the game offers an exhilarating experience for players to test their reflexes and coordination. It is essential to ensure that there is a clear space around the game to prevent any accidents during play Portable and Versatile Design: Measuring 15.15 inches by 8.46 inches, this game is highly portable and versatile. Its compact size makes it easy to move, store, and set up in various settings, from home to public spaces Perfect Gift Idea: This engaging and fun-filled game is an excellent gift option for the holiday season. It brings joy and entertainment, serving as an ideal present for both family and friends, enhancing any Christmas celebration",https://www.amazon.com/Upgrade-Reflex-Challenge-Game-Coordination/dp/B0DYV1Q2Q2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-3
B00ABA0ZOA,Jenga Game | The Original Wood Block Game with Genuine Hardwood Blocks | Stacking Tower Game | Ages 6+ | 1 or More Players | Party Games for Kids | Family Games,games,10.49,21.99,52.3,4.8,101025,"THE ORIGINAL WOOD BLOCK GAME: Dare to risk it? Pull out a block, place it on top, but don't let the tower fall! The Jenga game for kids and adults is the wooden block balancing game loved for generations FAST, EXCITING, ANYTIME FUN: With a simple set up, easy-to-learn rules, and just the right amount of challenge, the Jenga game is a great game for impromptu fun with family and friends GREAT KIDS PARTY GAMES: Suspense, surprises, laughs! Liven up a party by taking along this portable game. This wooden blocks stacking game is great for Family Game Night, icebreakers, and kids birthday parties GENUINE HARDWOOD BLOCKS: The classic Jenga board game includes 54 precision crafted wooden blocks. The easy-to-use stacking sleeve can help players build the tower GAME FOR 1 OR MORE PLAYERS: No friends around? No problem. Play solo! Practice stacking skills, building the tower, and trying not to let it come tumbling down FUN KIDS GIFTS: Kids games and classic games make great holiday or birthday gifts for 6 year old girls and boys and up",https://www.amazon.com/Hasbro-Gaming-Hardwood-Stacking-Stuffers/dp/B00ABA0ZOA/ref=sr_1_4?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-4
B000FGECAI,"Educational Insights Kanoodle 3D Brain Teaser Puzzle for Ages 7+ Brain Games for Kids and Adults, Travel Games",games,9.97,13.99,28.7,4.7,31074,"Over 7 million sold: Millions of players around the world can’t get enough of this TikTok must have brainteaser! Don’t miss out on TikTok trend items like Kanoodle, the irresistible puzzle game. Kanoodle has been featured as a trending TikTok item and TikTok viral product—join the fun! INCLUDES 200 PUZZLES! Kanoodle includes 200 addicting 2D & 3D puzzles from beginner basic to deviously difficult; there are hundreds of possible combinations, but only one correct answer 2D & 3D BRAIN TEASER PUZZLE GAME: Kanoodle is a brain teaser puzzle game that includes 12 puzzle pieces, 200 puzzle challenges, a 48-page illustrated puzzle book, and a carrying case. Perfect brain teaser, travel game THE PERFECT GIFT! Our puzzle games and brainteaser games are the perfect gift for kids, teens, and adults! MADE FOR ALL AGES: For anyone 7 to 107! Kanoodle is the perfect brain-bending puzzle game",https://www.amazon.com/Educational-Insights-Kanoodle-Twisting-Solitaire/dp/B000FGECAI/ref=sr_1_5?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-5
B0DBXM87ZF,"Bluey Hide & Seek Game, Hide The Figure and Press her Nose to Start The Built-in Timer, Talks and Giggles to Help Kids find her, When Found, Kids can Dance to Theme Song",games,14.88,,,4.7,248,"Interactive Play - Kids can enjoy a real-life game of Hide and Seek with Bluey, an adorable electronic figure that makes the classic game even more fun. Bluey can be hidden anywhere in the house, creating endless possibilities for imaginative play. This interactive element keeps children engaged and encourages active playtime. Built-in Timer and Sound Cues - Bluey features a built-in timer to add excitement and urgency to the game. She talks and giggles every few seconds, giving players helpful clues to find her hiding spot. This keeps the game dynamic and ensures everyone stays entertained throughout the search. Dance Mode - Once found, players can press Bluey's nose to activate """"Dance Mode,"""" triggering the Bluey theme song. This feature adds a celebratory element to the game, allowing children to dance and enjoy music after their successful search. It turns a simple game of Hide and Seek into a full-fledged interactive experience. Articulated Bluey Toy Figure - The Bluey figure is not just electronic; it is also articulated, standing 15 cm (6 inches) tall, which makes it perfect for imaginative play. Children can move and pose Bluey, adding another layer of interaction to their playtime. The figure's design ensures it is durable and suitable for young kids. Perfect for Parties and Playdates: Great for 2 or more players, ages 3 and up Includes 2X AAA Batteries",https://www.amazon.com/Bluey-Figure-Press-Built-Giggles/dp/B0DBXM87ZF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-6
B0F1CVCSNR,"Upgrade Reflex Challenge Game, Hand Eye Coordination Training Reaction Training Toy, Catch All Drop Sticks Game, Adjustable Speed",games,19.99,,,4.0,6,"Catching Sticks Game: Our upgraded stick drop game is not only effectively exercises your reaction speed and hand-eye coordination, but also improve attention and concentration, and develop brain potential Inclusive Speed Settings: With three adjustable speed levels, this game caters to all age groups, ensuring that everyone can play at a pace they find comfortable and enjoyable Two Hanging Hooks: Exciting Reflex Challenges, Equipped with two hanging hooks to securely hold grab sticks, the game offers an exhilarating experience for players to test their reflexes and coordination. It is essential to ensure that there is a clear space around the game to prevent any accidents during play Portable and Versatile Design: Measuring 15.15 inches by 8.46 inches, this game is highly portable and versatile. Its compact size makes it easy to move, store, and set up in various settings, from home to public spaces Perfect Gift Idea: This engaging and fun-filled game is an excellent gift option for the holiday season. It brings joy and entertainment, serving as an ideal present for both family and friends, enhancing any Christmas celebration",https://www.amazon.com/HYOIIO-Challenge-Coordination-Training-Adjustable/dp/B0F1CVCSNR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-7
B075YYPTSM,"Mattel Games Toss Across Kids Outdoor Game, Bean Bag Throw for Camping & Family Nights, Get 3-in-a-Row for 2 to 4 Players",games,26.99,35.99,25.0,4.5,8252,"We took classic Tic Tac Toe and added some action! Place the Toss Across unit on a floor, turn all targets blank side up, grab your three bean bags, and get ready to toss! Players try to get the rotating triangles to flip to show either X or O. Three in a row wins! Toss Across is lots of fun and even helps develop hand-eye coordination. Fun for children and the whole family.",https://www.amazon.com/Mattel-Games-Toss-Across-Game/dp/B075YYPTSM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-8
B0CJYKM4FT,"Paint Spin Art Machine Kit for Kids - Arts & Crafts for Boys & Girls Ages - Art Craft Set Gifts for 6-9 Year Old Boy, Girl- Cool Painting Spinner Toys Kits - Birthday Gift Ideas for Ages 6-12 Years",games,19.99,,,4.4,1094,"UNLEASH CREATIVITY: Dive into the world of splatter art and create unique masterpieces reminiscent of famed artists like Jackson Pollock and Shozo Shimamoto. NO RULES, JUST FUN: With abstract art, there's no right or wrong. Use the white crayon for special effects, choose from 7 vibrant and metallic paints, and let your imagination run wild. ALL-INCLUSIVE KIT: This comprehensive set comes with a paint spinning machine, splatter guard, 4 bright paints, 3 shimmering metallic paints, 20 artboards in varied shapes, and 2 unique white crayons for special effects. HASSLE-FREE SETUP: Equipped with a splatter guard and intuitive setup process, this kit ensures a mess-free art experience for all ages. SAFE & NON-TOXIC: Prioritizing safety, our Paint Vortex kit is non-toxic and kid-friendly, making it perfect for young artists. THE PERFECT GIFT: Whether for a birthday, holiday, or just because, this kit promises endless hours of fun and creativity, making it a cherished gift for young and old alike. VARIETY GALORE: Choose from 20 artboards in different shapes and sizes, ensuring every creation stands out uniquely.",https://www.amazon.com/Paint-Spin-Art-Machine-Kids/dp/B0CJYKM4FT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-9
B0B7WXKKWJ,"HopeRock Toys for 2 3 4 5 Year Old Boy,Toddler Toys Age 2-4, Whack A Frog Game,with 5 Modes,45 Levels,9 Music Spray and Light-up, Baby Toy Gifts for Early Learning, Birthday Gift for Toddler Boy Toys",games,29.99,43.19,30.6,4.5,3672,"【Kids Toys with 5 Modes】This Frog Game Toy is an excellent tool for early childhood education and development. It fosters musical abilities, enhances muscle coordination, and improves physical coordination in 3 year old boy. With 5 interactive modes including Pass, Competitive, Memory, Play, and Piano, kids can challenge themselves with 45 levels of increasing difficulty. This makes the toy a perfect choice for nurturing growth and learning, especially as gifts for boys 【Sensitive Counting】The Frog Game Toy is a specifically designed educational toy for 3 year old boys,that makes for great 3 year old boy gifts.Kids can play by gently tapping the ""light-up frogs."" This action helps to improve strength in their little hands. The game involves hitting frogs with flashing lights to score points and has a two-player mode that parents and kids can enjoy together, fostering a strong parent-child bond. This toy is a great choice for physical and interactive fun! 【Upgraded Design-Spray Function】The upgraded Frog Game Toy now features a spray function that further stimulates kids interest. It automatically sprays upon turning on the toy or passing a level. Kids can select different modes by pressing the switch button, causing the frog to change and glow with a soft, non-dazzling light. This helps to improve their visual, language, and musical sound recognition abilities. When the frog isn't hit, the toy continues to encourage the child to keep playing. 【Adjustable volume】The Frog Game Toy allows you to adjust the sound volume and pause the game according to your surroundings. If not in use for 20 seconds, it enters a power-saving mode and goes to sleep. After 5 minutes of inactivity, the toy will automatically turn off and enter power-saving mode to conserve energy. 【Kids' Holiday Gift Toy】This frog toy is an excellent educational tool and a toddler gifts that can stimulate your child's development. It makes a perfect present for birthdays and Easter toys for toddlers, bringing a delightful grin to their charming little faces. These toys for ages 3-4 are both entertaining and ideal for boys and girls in that age range, and your kids will surely become enamored with this frog toy! 【SAFE MATERIALS】This frog toy is constructed from ABS plastic, making it BPA-free, non-toxic. The accessories have a smooth surface with no sharp edges, ensuring that it will not cause any harm to a baby's delicate skin. It is suitable for toddlers and can be touched, played with, and hugged by them. The toy meets American toy standards and has undergone rigorous safety testing, ensuring that it is safe for your kids to use.",https://www.amazon.com/HopeRock-Toddlers-Light-up-Interactive-Christmas/dp/B0B7WXKKWJ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.P8Zaoi_V7iO_kugkTLp4lnwbg2Tm0Db6rf_W8dSMeX5QNPVYgeRkAFsa8yOAgJsmYbaRlgdYH0y6SaI1NRCGcrTk4hGQPvpWGAwsj1u2SZeJmoBAOD8_qVXkp5bihZ14Fmfma2KL7To4KAahzg31EQ2Hr0IvxtL7JvCSJowAZ-wofi_FKzIRS-CsbTV6W-IssbMU5O6VK_T-pFSsnRLi_LKypgQtezqMC8XvUsQDZTNzs2Tcbh_4H7Vdcuin524ipkIV7JnlQoX5BOuLrOr-UscW1Ei6KTnPlDbuuBunEa0.7V1GPi-l_APA7zha6jTZVHBZXC_GdtWspTg-btPx7wA&dib_tag=se&keywords=toys+and+games&qid=1746025533&sr=8-10
