product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name
B0C61W2MVF,3 Pcs Men's Oversized Heavy Cotton Summer T-Shirts Vintage Tee Loose Fit Short Sleeve Casual Tshirts for Men Women,Clothing,$28.49,N/A,N/A,4.5,881,N/A,N/A,
B0BPYDHG56,Trendy Queen Womens Oversized Summer T Shirts Fashion Workout Plus Size Tops Short Sleeve Beach Vacation Gym Clothes 2025,Clothing,$8.49,N/A,N/A,4.3,2896,N/A,N/A,
B0DC6TY2KQ,SAMPEEL Two Piece Sets for Women Casual Travel Vacation Outfits Summer Wide Leg Crop Pants Lounge Sets,Clothing,$34.99,N/A,N/A,4.4,240,N/A,N/A,
B0DNXM7G3Y,AUTOMET Womens Tank Tops Summer Sleeveless Shirts Spring 2025 V Neck Loose Fit Casual Clothes Trendy Fashion Outfits,Clothing,$6.99,N/A,N/A,4.5,74,N/A,N/A,
B0C69DCX7J,ANRABESS Women Athletic Dress Summer Tennis Workout Active Sports Mini Romper Dress Built in Shorts Travel Vacation Clothes,Clothing,$26.99,N/A,N/A,4.3,2503,N/A,N/A,
B09315VY54,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",Clothing,$17.97,N/A,N/A,4.6,307452,N/A,N/A,
B0DP94TVJS,AUTOMET Womens Lace Tops Pleated Short Sleeve Shirts Summer Business Casual Dressy Blouses,Clothing,$12.99,N/A,N/A,4.4,343,N/A,N/A,
B086L69KCL,"Hanes Men's Boxer Briefs, Cool Dri Moisture-Wicking Underwear, Cotton No-Ride-up for Men, Multi-Packs",Clothing,$16.31,N/A,N/A,4.5,162750,N/A,N/A,
B0BM8LG2WL,The Children's Place Girls' Short Sleeve High Low Tee,Clothing,$37.02,N/A,N/A,4.7,259,N/A,N/A,
B0DS23LVM7,Trendy Queen Womens Strapless Tube Tops Basic Backless Sleeveless Bandeau Going Out Crop Tops Cute 2025 Summer Clothes,Clothing,$8.99,N/A,N/A,4.4,49,N/A,N/A,
B0CL9D24CC,Dokotoo Women's Casual Loose Overalls Jumpsuits One Piece Sleeveless Printed Wide Leg Long Pant Rompers With Pockets,Clothing,$27.10,N/A,N/A,4.1,2613,N/A,N/A,
B0CW1L4P74,AUTOMET Womens 2 Piece Sets Summer Outfits 2025 Two Piece Lounge Set Matching Clothing Oversized Tshirts Biker Short Fashion,Clothing,$25.99,N/A,N/A,4.1,513,N/A,N/A,
B0CYC74R11,Trendy Queen Womens Basic T Shirts Summer Tops 2025 Crop Short Sleeve Slim Fit Tee Cute Gym Workout Clothes,Clothing,$9.99,N/A,N/A,4.5,1266,N/A,N/A,
B0CKT79VGK,Dokotoo Womens Summer Scoop Neck Short Sleeve Sweater Casual Crochet Hollow Out Knit Tops Pullover Shirts Beach Coverup,Clothing,$22.94,N/A,N/A,4.4,1924,N/A,N/A,
B0DCZ4KXWK,Trendy Queen Women's Long Sleeve Shirts Slim Fit Stretchy Color Block Slightly Cropped Tops,Clothing,$8.99,N/A,N/A,4.3,622,N/A,N/A,
B07BJ8MR35,Amazon Essentials Women's Lightweight Crewneck Cardigan Sweater (Available in Plus Size),Clothing,$19.00,N/A,N/A,4.4,15538,N/A,N/A,
