product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,product_link
B00CD0KZ78,"Back to the Roots Organic Oyster Mushroom Grow Kit, Harvest Gourmet Mushrooms In 10 Days",Grocery_and_Gourmet_Food,29.99,,,,17438,"100% ORGANIC AND NON-GMO: There's no need to worry about intoxicants that may hinder your plant's growth because the Back to the Roots Mushroom Growing Kit is completely organic and not genetically modified; You can cook them however you want or add them to your favorite dishes GROW YOUR PLANT ALL YEAR-ROUND: This organic mushroom indoor kit allows you to grow your own crop all-year round; Just place the box near a window with indirect light, mist twice a day, and you'll see delicious, beautiful mushrooms growing within a week; Included in this kit is an organic plant-based soil infused with mushroom spawn and a booklet with instructions CONVENIENT AND EASY: Mushrooms are one of the easiest to grow indoors; All you need to do is open, spray daily with the included mister, and in 10 days you'll be harvesting your own mushrooms right out of the box; Each crop produces three to four servings of mushrooms, and each box can grow up two crops THE PERFECT GIFT: The perfect holiday gift, it comes in a beautiful packaging so that it's ready to be given to foodie, garden-loving and eco-conscious friends and family; This kit is also part of our Grow One Give One campaign, simpy share a picture on social media, tag us and use the campaign hashtag, and we'll donate a kit to a classroom of your choice GUARANTEED TO GROW: Made in the USA and 100% Guaranteed to grow. If you are not satisfied, simply message us and we will send you a Back To The Roots replacement",https://www.amazon.com/Back-Roots-Mushroom-Mushrooms-Gardening/dp/B00CD0KZ78/ref=sr_1_1?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-1
B09NL8GRTJ,"OREO Cakesters Soft Snack Cakes, 3 - 5 Count Packs (15 Total Snack Packs) + Bonus OREO Mini Cookie Snack Pack",Grocery_and_Gourmet_Food,9.99,,,4.5,2051,    ,https://www.amazon.com/OREO-Cakesters-Soft-Snack-Cakes/dp/B09NL8GRTJ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-2
B01E6OLE64,"Watkins Assorted Food Coloring, 1 Each Red, Yellow, Green, Blue, Total Four 0.3 oz bottles, 4 Count (Pack of 1)",Grocery_and_Gourmet_Food,6.99,,,4.4,11974,"Derived from pure vegetable juices and spices including beet juice, turmeric and spirulina extract. FD&C Dye Free No Artificial Colors Non-GMO, Gluten Free Crafted in the USA",https://www.amazon.com/Watkins-Food-Coloring/dp/B01E6OLE64/ref=sr_1_3?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-3
B072BC91K9,Stonewall Kitchen Blueberry Batter Bowl Gift (5 Piece),Grocery_and_Gourmet_Food,69.95,,,4.7,146,"Let the Easter bunny deliver your Stonewall Kitchen Blueberry Batter Bowl Gift (5 Piece)! Gourmet Easter basket foodie gift: A delicious variety of blueberry products Includes Wild Maine Blueberry Syrup (8.5 oz.), Farmhouse Pancake & Waffle Mix (16 oz.), Wild Maine Blueberry Jam (12.5 oz.), a Batter Bowl, and a Medium Navy Spatula Gift baskets make a great Mother's Day Gift! Mom will love it! Our melamine batter bowls are kitchen must-haves Stonewall Kitchen Family of Brands: Our award winning line of gourmet food, home goods, and gifts are loved around the world. Featuring brands such as Legal Sea Foods, Michel Design Works, Montebello, Napa Valley Naturals, Stonewall Home, Stonewall Kitchen, Urban Accents, Vermont Coffee Company, Vermont Village, and Village Candle About Us: It all started in 1991 at a local farmers' market with a few dozen items that we'd finished hand-labeling only hours before. Fast-forward to today and Stonewall Kitchen is now home to an ever-growing family of like-minded lifestyle brands! Expertly made with premium ingredients, our products are the result of decades spent dreaming up, testing and producing only the very best in specialty foods and fine home living.",https://www.amazon.com/Stonewall-Kitchen-Breakfast-Baskets-Blueberry/dp/B072BC91K9/ref=sr_1_4?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-4
B08NWGM9FD,"Amazon Basics Pretend Toy Play Food for Kids Ages 3 and Up, Set of 150 Pieces, Multicolor",Grocery_and_Gourmet_Food,22.79,,,4.6,1044,"Toy food set for kids; ideal for playing restaurant, grocery store, chef, and more Includes a 150-piece set of toy foods (fruits, vegetables, fish, drinks, pizza, burger, baked goods, treats, and more) Made of PP and PE plastic; free of lead and phthalates Products adhere to U.S. and ASTM safety standards Recommended for ages 3 and older",https://www.amazon.com/Amazon-Basics-150-piece-Pretend-Play/dp/B08NWGM9FD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-5
B07DP5ZVSP,Happy Birthday Orchard Delight Fruit and Gourmet Gift Basket,Grocery_and_Gourmet_Food,32.99,,,4.3,1736,    ,https://www.amazon.com/Birthday-Orchard-Delight-Fruit-Gourmet/dp/B07DP5ZVSP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-6
B0B5HP8FS1,"Gourmet Chocolate Brownies Gift Basket Cookie Gifts, Prime Corporate for Men Women Birthday Anniversary Get Well Soon | Nut Free",Grocery_and_Gourmet_Food,12.99,,,3.6,126,N/A,https://www.amazon.com/OMCookie-Brownies-All-Occasions/dp/B0B5HP8FS1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-7
B08CTPY8LQ,"Pocky Chocolate Biscuit Sticks Variety Pack (12 Count, 1.06 LBS)",Grocery_and_Gourmet_Food,4.95,,,4.5,4927,,https://www.amazon.com/Pocky-Chocolate-Biscuit-Sticks-Strawberry/dp/B08CTPY8LQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-8
B07Q98HPVQ,"Barnett’s Chocolate Cookies Favors Easter Gift Box Sampler, Gourmet Christmas Holiday Corporate Food Gifts, Mothers & Fathers Day, Birthday or Get Well Care Package Idea, 6 Unique Flavors",Grocery_and_Gourmet_Food,22.99,,,4.2,2481,N/A,https://www.amazon.com/Barnetts-Chocolate-Gift-Christmas-Thanksgiving/dp/B07Q98HPVQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-9
B08BJDF9D2,Hazel & Creme Gourmet Pretzels - Get Well Gift Box - Care Package Gift - Gourmet Food Present,Grocery_and_Gourmet_Food,26.99,,,,365,    ,https://www.amazon.com/Hazel-Creme-Chocolate-Covered-Pretzels/dp/B08BJDF9D2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.43xnfgNx2idaGQylIYX9Z01GXWNYmURSGfpNhHG8aQSipNV9k5IbSaKrA3sf4XVYFBdgxAOFjRSkg0NwKpH-EB9XbmUc4q5nAhqJRiCvIB6x8ICDg4aiHd7zRc-xgmTeUfhErrtz-UcQu6PrWDRQTRL5R5bgLRwJeleguIDIhRZ1Z5PGDzOlKYTL0BgWhVIHXKIctYgdI_fC5b530jl_a2ZUTlwnIH6aXeojBFMF6mqvwlkmgU5_LVZwRagpDOC4xpdTpntniTQxrkdiCFFvL8aA2RIM-tlS0kOkU1axP_4.CREs5hO7gaiakOdC7YLHzkD1MlWEwinwZ1C9eXuIbIQ&dib_tag=se&keywords=grocery+and+gourmet+food&qid=1745686901&sr=8-10
