product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name
B00MW8G62E,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches, Pack of 100, Blue & White",Pet_Supplies,$20.99,,N/A,4.5,256119,"INCLUDES: 100 Regular-size standard-absorbency puppy pee pads; ideal for puppy training, senior dogs, car trips, and more 5-LAYER PROTECTION: Multi-layer construction with quick-dry surface and absorbent core that turns liquid into gel on contact LEAKPROOF: Plastic lining keeps floors safe from damage; plastic border on all 4 sides to prevent overflow BUILT-IN ATTRACTANT: Helps aid in potty training PRODUCT DIMENSIONS: 22 x 22 inches (LxW, overall); 19 x 19 inches (LxW, center pad); 1.65 inch border",N/A,
B00B8CG602,Seresto Large Dog Vet-Recommended Flea & Tick Treatment & Prevention Collar for Dogs Over 18 lbs. | 8 Months Protection,Pet_Supplies,,$37.99,N/A,4.5,106605,    ,N/A,
B0DQ37T2NC,"Pet Pooper Scooper,Plastic and Aluminum Dog Poop Grabber with Long Handle 27.3 inches Use on Grass and Concrete",Pet_Supplies,$29.99,$25.59,-17.19%,4.4,30,"【Pet Pooper Scooper】Ideal for cleaning up feces left by pets without touching them by hand, suitable for grass, sand, dirt and concrete. 【Products】Composed of high quality plastic and aluminum alloy.Total length:27.3 inches. 【Hygienic Operation】The long handle helps you clean up your pet's feces without having to bend down to reach it, and the serrated edges ensure closure and a higher degree of cleanup 【Structural Reliability】The opening and closing mechanism is simple, minimizing the difficulty of operation, not easy to damage, and sturdy and durable 【Easy to Clean】The smooth interior ensures that simple rinsing is all that is needed for regular cleaning.",N/A,
B0CLLPVZRV,"Swihauk Self Cleaning Slicker Brush - Skin Friendly Deshedding Grooming Tool for Dogs & Cats, Suitable for Shedding & Haired Pets, with Pet Supplies Accessories, Blue",Pet_Supplies,$16.99,$9.98,-70.24%,4.6,7073,"【Easy Desheding】: Swihauk self cleaning dog brush for long haired dogs with release bottom helps effortlessly reduce shedding. A must have dog brush for short haired dogs, cat brush for indoor cats, cat brush for shedding, slicker brush for dogs. 【Safe Design】: Soft and protective plastic round head bristles creating a comfortable feeling while deshedding without hurting your pet. Ideal puppy brush for small dogs, dog brush for shedding and grooming. 【Sturdy & Durable】: Premium stainless steel metal and compact design make our product sturdy and durable for long term use. 【Ergonomic Design】: Press bottom for easy cleaning, high-quality & lightweight TPR handle make your grooming effortlessly. 【Effective to Remove Loose Fur】: Swihauk pet grooming brush is effective to remove loose fur, suitable for dogs, cat with long and short hair, perfect for your lovely pet like puppies, golden retriever, rabbit, kitten, bunny, yokie and more.",N/A,
B09ZLSR8PH,"Best Pet Supplies Dog Poop Bags for Waste (150 Bags) Refuse Cleanup, Doggy Roll Replacements for Outdoor Puppy Walking and Travel, Leak Proof and Tear Resistant, Thick Plastic - Assorted Colors",Pet_Supplies,$6.99,$18.19,61.57%,4.8,48335,"Leak-Resistant All-Purpose Poop Bags – Designed with rip-resistant technology that holds up to those big, smelly messes our poop bags are perfect for owners who love taking their dog or puppy to the park, on long walks, or trips around town Portable Pet Waste Solution - Our dog poop bag roll is specifically designed to accompany you on walks or visits to the park, ensuring convenient disposal of pet waste. Additionally, these versatile bags can be utilized for disposing of car trash and storing dirty laundry while traveling. Quick Cleanup Made Easy – Our versatile doggy poop bags are thicker, more durable, and feature easy-tear perforations to make it easier to pull a single one away from the roll. This means less time standing around and more time cleaning up Supports Small to Large Breed Dogs – These durable dog poop bags are 13” x 9” in size which make it easier to pick up and safely store messy feces and deposits for all types of breeds, including chihuahuas to boxers to Labradors Trusted Quality Assurance – Here at Best Pet Supplies we make pet poop bags and pet accessories that support owners and their four-legged friends. If you have any questions, please reach out and we’ll provide fast, reliable support",N/A,
B0CFX9F59C,"Jugbow Dog Shock Collar - 3300FT Dog Training Collar with Remote Innovative IPX7 Waterproof with 4 Training Modes, Rechargeable E-Collar for All Breeds",Pet_Supplies,$41.99,$49.99,16.00%,4.3,9573,"【4 Humanized, Effective, Safe Training Modes】Our dog shock collar features 4 humane training modes: beep(1-8 levels), vibration(1-16 levels), safe shock(1-99 levels) and Shock Boost(10% higher). Enables you to set the right stimulation levels for your pet, which is helpful in deterring dogs from undesirable habits. 【3300FT Range & 2 Channel】The dog training collar covers up to 3300FT allowing the dog to roam farther, making it easy to train your dog indoors or outdoors. With dual-channel, one remote supports 2 receiver collars, and you can train 2 dogs at the same time! Besides, it has a memory function without resetting it. 【Fits for All Sizes of Dogs】Jugbow training collar for dogs sizes dog with neck sizes from 7.8 - 24.4 inches and weights from 10 - 120 lbs. Dog training collars are suitable for large dogs, medium dogs, and small dogs. This collar strap is made of soft nylon to protect your dog comfortably. Meanwhile, the lightweight collar design reduces your dog's burden. 【IPX7 Waterproof Collar & Security Lock】The electric dog collar can be used in any weather and any condition thanks to the IPX7 waterproof design of the receiver. Instant response security on/off switch button allows you to carry it without any fear of accidental touch. 【Incredible Battery Life & Quick Charging】 Charging via USB, 2-in-1 fast charging only 2 hours to be fully charged. This dog training collar with remote provides battery life that lasts for a long time, the e collar can last up to 35 days of standby time and the remote 45 days! Jugbow dog shock collar comes with 24-hour after-sales customer service. If you have any issues, please get in touch with us and we will reply in time.",N/A,
B09BBM5CX8,"Best Pet Supplies Crinkle Dog Toy for Small, Medium, and Large Breeds, Cute No Stuffing Duck with Soft Squeaker, Fun for Indoor Puppies and Senior Pups, Plush No Mess Chew and Play - Yellow",Pet_Supplies,$5.99,$21.99,72.76%,4.4,37410,"Premium Soft Chew Toys for Dogs - These adorable dog crinkle toys no stuffing ducks provide your four-legged best friend with an interactive chew toy that makes noise, keeps them engaged, and is gentler on teeth, gums, and dental health Cute and Colorful Duck Shape - Shaped like a real duck these dog crinkle toys for small dogs, medium dogs, and every size in between comes in 6 unique colors and provides a more puppy friendly shape that's easy to carry around No Fluff, No Mess Design - Unlike messy bones, ropes, or other toys for aggressive chewers these dog crinkle toys won't leave behind a mess after they're done playing. They also boast reinforced fabric and stitching to help them hold up to chewing Active Play, Tossing, and Retrieving - Our cute duck chew toys for dogs can be used for bonding with your puppy, reducing stress or separation anxiety, or simply giving them an active outlet for channeling aggression or intense play GREAT GIFT: Whether you’re looking for an exciting birthday, holiday or a just-because gift for your furbaby, you can’t go wrong with these incredibly fun dog toys. Click ‘Add to Cart’ now! Please note that our toys are not edible or meant for consumption.",N/A,
B00BSYR7K8,"Earth Rated Poop Bags for Dogs, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls, Lavender Scented, 270 Count",Pet_Supplies,$13.99,$18.19,23.09%,4.8,232417,"DOG POOP BAGS: Our durable poop bags are a dog-walking essential. They are extremely portable and pair perfectly with the Earth Rated Poop Bag Dispenser for easy access while on the go. 100% LEAK-PROOF CONSTRUCTION: These dog poop bags are extra long, extra strong, and 100% leak-proof, ensuring that your hands stay clean while out and about with your dog. Each individual bag measures 13"" L x 9"" W. EASY-TO-USE: To use, pull one of our poop bags away from the roll and tear on the built-in line. With the ""3 Bags Left"" sticker, you will always know when you are getting low. A BETTER POOP BAG: We make our dog poop bags with 65% certified post-consumer recycled plastic, giving a second life to over 5 million pounds of landfill-bound plastic a year. EARTH RATED: Our mission is to make everyday moments for people and their dogs simpler and better. We do this by designing innovative products that are thoughtfully unexpected. We are also proudly B Corp Certified.",N/A,
B01IRO7WR4,"Pet MD - Dog Ear Cleaner Wipes - Otic Cleanser for Dogs to Stop Ear Itching, and Infections with Aloe and Eucalyptus - 100 Count",Pet_Supplies,$14.99,N/A,N/A,4.6,59963,"Advanced Formulation Designed to Gently Clean, Deodorize and Dry Your Pets Ears Gentle and Safe for Regular Use which Prevents Ear Infections, Reduces Wax Build Up and Removes Debris in and Around the Ear 100 Convenient, Alcohol Free, Soothing and Non-Irritating Disposable Ear Wipes for Dogs. For Dogs Over 12 Weeks Old Reduce Foul Ear Odor and Prevents Infection to Keeps Your Dog Happy and Healthy without Medication Made in the USA in Federally Regulated Manufacturing Facilities to Ensure Quality and Safety",N/A,
B0BYNF9GZS,"AIRROBO Dog Grooming Vacuum, Dog Grooming Kit,12000Pa Strong Pet Grooming Vacuum for Dogs, 2L Large Capacity Dog Vacuum for Shedding Grooming Hair, Dog Hair Vacuum, 5 Pet Grooming Tools, Quiet,PG100",Pet_Supplies,$82.99,$59.99,-38.34%,4.5,7616,"DOG GROOMING VACUUM with 12000PA STRONG SUCTION POWER- with a strong suction power of up to 12000pa, our dog grooming kit with vacuum function can suck up to 99% of pet hair into the dust box as you groom, preventing pet hair from spreading and creating a mess. Say goodbye to hair-covered furniture and hello to a tidy, fur-free home. LOW NOISE DESIGN & 3 ADJUSTABLE SUCTION LEVELS- Your pet will enjoy the dog hair vacuum. the lowest noise level is below 50dB, quieter than the vacuum cleaner, it won't scare your pet. it has 3 adjustable suction levels, and you can adjust it as per the comfort and size of your dog. MULTIPLE GUIDIE COMES - 6 different-sized guide combs(3mm & 6mm & 9mm & 12mm &18mm & 24mm) can be used to trim pet hair of different lengths. This allows you to achieve the perfect look for your pet, regardless of their hair length. LARGE CAPACITY DUST CUP-Our dog grooming vacuum for shedding comes with a large dust cup, which is large enough for even large dogs, there is no need to stop and empty it frequently while grooming and trimming, and the dust cup is so easy to empty- just pull the quick-release snap on the dust cup for touch-free emptying. EXPERIENCE PROFESSIONAL-QUALITY GROOMING EXPERIENCE at Home- Our 5-in-1 Pet Grooming Kit and vacuum has everything you need to groom dogs and cats and can give your pet a professional-quality grooming experience right in the comfort of your own home whether you have a long-haired or short-haired pet! Save you time and money on expensive trips to the groomer! 4.9FT DETACAHLE HOSE - 4.9FT(1.5m) extended hose can give you more flexibility to clean hard-to-reach areas and allow you to keep your pets far away from the motor noise, making it more suitable for sensitive or large pets. and the detachable design allows you to remove and replace it.",N/A,
B07ZPMYYZF,"Best Pet Supplies Pet Wipes for Dogs - Dog Wipes Cleaning Deodorizing, for Coats, Ears, Paws - Calming Lavender, Aloe Vera, 100 Count",Pet_Supplies,$7.99,$9.99,20.02%,4.6,11387,"DEEP CLEANSING: Remove dirt from paws, ears, and other areas with dog grooming wipes. These dog wipes for paws and butt keep your pet's coat clean, reducing dryness, itchiness, and odors HYDRATING FORMULA: Lavender, Vitamin E, and cucumber extract in dog cleaning wipes nourish and hydrate DURABLE AND GENTLE: 8” x 9” dog cleaning wipes are durable against tough dirt yet gentle on sensitive areas VARIETY OF OPTIONS: Use dog grooming wipes in scented and unscented varieties to clean and deodorize. Dog wipes for face and butt leave pets refreshed from head to tail EASY-TO-CARRY PACKS: The compact, resealable pouch holds dog grooming wipes. Ideal for home or on the go, great for hikes or trips with these dog paw wipes",N/A,
